GameId,Year,Round,Date,Attendance,HomeTeam
2012R0101,2012,R1,24/03/2012,38203,Greater Western Sydney
2012R0102,2012,R1,29/03/2012,78285,Richmond
2012R0103,2012,R1,30/03/2012,78466,Hawthorn
2012R0104,2012,R1,31/03/2012,33473,Melbourne
2012R0105,2012,R1,31/03/2012,12790,Gold Coast
2012R0106,2012,R1,31/03/2012,34601,Fremantle
2012R0107,2012,R1,31/03/2012,45818,North Melbourne
2012R0108,2012,R1,1/04/2012,24977,Western Bulldogs
2012R0109,2012,R1,1/04/2012,21179,Port Adelaide
2012R0201,2012,R2,5/04/2012,25913,Brisbane Lions
2012R0202,2012,R2,7/04/2012,34118,Essendon
2012R0203,2012,R2,7/04/2012,22242,Sydney
2012R0204,2012,R2,7/04/2012,35674,West Coast
2012R0205,2012,R2,7/04/2012,34021,Adelaide
2012R0206,2012,R2,7/04/2012,57268,Collingwood
2012R0207,2012,R2,8/04/2012,11127,North Melbourne
2012R0208,2012,R2,8/04/2012,21078,St Kilda
2012R0209,2012,R2,9/04/2012,69231,Geelong
2012R0301,2012,R3,13/04/2012,84259,Carlton
2012R0302,2012,R3,14/04/2012,49826,Richmond
2012R0303,2012,R3,14/04/2012,19032,Port Adelaide
2012R0304,2012,R3,14/04/2012,33473,Fremantle
2012R0305,2012,R3,14/04/2012,17069,Gold Coast
2012R0306,2012,R3,14/04/2012,28971,Western Bulldogs
2012R0307,2012,R3,15/04/2012,6875,Greater Western Sydney
2012R0308,2012,R3,15/04/2012,33524,Hawthorn
2012R0309,2012,R3,15/04/2012,29630,North Melbourne
2012R0401,2012,R4,20/04/2012,30172,St Kilda
2012R0402,2012,R4,21/04/2012,73172,Carlton
2012R0403,2012,R4,21/04/2012,30741,Collingwood
2012R0404,2012,R4,21/04/2012,28261,Adelaide
2012R0405,2012,R4,21/04/2012,40080,West Coast
2012R0406,2012,R4,21/04/2012,21980,Brisbane Lions
2012R0407,2012,R4,22/04/2012,21952,Geelong
2012R0408,2012,R4,22/04/2012,21049,Sydney
2012R0409,2012,R4,22/04/2012,33565,Melbourne
2012R0501,2012,R5,25/04/2012,86932,Collingwood
2012R0502,2012,R5,27/04/2012,38847,Fremantle
2012R0503,2012,R5,28/04/2012,9128,Greater Western Sydney
2012R0504,2012,R5,28/04/2012,17680,North Melbourne
2012R0505,2012,R5,28/04/2012,24877,Melbourne
2012R0506,2012,R5,28/04/2012,15534,Brisbane Lions
2012R0507,2012,R5,29/04/2012,19217,Hawthorn
2012R0508,2012,R5,29/04/2012,28464,Richmond
2012R0509,2012,R5,29/04/2012,41649,Adelaide
2012R0601,2012,R6,4/05/2012,38155,Western Bulldogs
2012R0602,2012,R6,5/05/2012,36361,Essendon
2012R0603,2012,R6,5/05/2012,18010,Geelong
2012R0604,2012,R6,5/05/2012,11670,Gold Coast
2012R0605,2012,R6,5/05/2012,23969,Sydney
